Abbrev,State,Capital,Lat,Lon,Pop,Area
AL,Alabama,Montgomery,32.38012,-86.300629,205764,250.0925375
AK,Alaska,Juneau,58.29974,-134.406794,31275,4372.113234
AZ,Arizona,Phoenix,33.44826,-112.075774,1445632,764.278932
AR,Arkansas,Little Rock,34.748655,-92.274494,193524,187.0061316
CA,California,Sacramento,38.579065,-121.491014,466488,156.4285369
CO,Colorado,Denver,39.74001,-104.992259,600158,246.8738433
CT,Connecticut,Hartford,41.763325,-72.674069,124775,27.84170462
DE,Delaware,Dover,39.158035,-75.524734,36047,36.04937477
FL,Florida,Tallahassee,30.439775,-84.280649,181376,154.0145163
GA,Georgia,Atlanta,33.748315,-84.391109,420003,211.9510115
HI,Hawaii,Honolulu,21.30477,-157.857614,337256,137.9210454
ID,Idaho,Boise,43.60698,-116.193409,205671,102.6763442
IL,Illinois,Springfield,39.801055,-89.643604,116250,86.90474275
IN,Indiana,Indianapolis,39.76691,-86.149964,820445,581.7789723
IA,Iowa,Des Moines,41.58979,-93.615659,203433,121.9885093
KS,Kansas,Topeka,39.049285,-95.671184,127473,90.12343692
KY,Kentucky,Frankfort,38.19507,-84.878694,25527,23.65740219
LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493,123.5978563
ME,Maine,Augusta,44.318036,-69.776218,19136,89.15782867
MD,Maryland,Annapolis,38.9767,-76.489934,38394,10.8309059
MA,Massachusetts,Boston,42.358635,-71.056699,617594,77.89239905
MI,Michigan,Lansing,42.73194,-84.552249,114297,56.32714808
MN,Minnesota,Saint Paul,44.943829,-93.093326,285068,84.97352624
MS,Mississippi,Jackson,32.29869,-90.180489,173514,168.8205095
MO,Missouri,Jefferson City,38.577515,-92.177839,43079,43.9351755
MT,Montana,Helana,46.58976,-112.021202,28190,22.53085923
NE,Nebraska,Lincoln,40.81362,-96.707739,258379,120.0572928
NV,Nevada,Carson City,39.164885,-119.766999,55274,230.7803724
NH,New Hampshire,Concord,43.20725,-71.536604,42695,103.4810178
NJ,New Jersey,Trenton,40.217875,-74.759404,84913,12.32759869
NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,60.02864638
NY,New York,Albany,42.651445,-73.755254,97856,34.44002768
NC,North Carolina,Raleigh,35.78551,-78.642669,403892,184.4311763
ND,North Dakota,Bismarck,46.805372,-100.779334,61272,43.29143666
OH,Ohio,Columbus,39.96196,-83.002984,787033,338.4456926
OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,976.8736823
OR,Oregon,Salem,44.93326,-123.043814,154637,73.54716192
PA,Pennsylvania,Harrisburg,40.259865,-76.88223,49528,13.05180488
RI,Rhode Island,Providence,41.823875,-71.411994,178042,29.77292113
SC,South Carolina,Columbia,33.99855,-81.045249,129272,201.4902554
SD,South Dakota,Pierre,44.368924,-100.350158,13646,20.92151214
TN,Tennessee,Nashville,36.167783,-86.778365,601222,761.7039767
TX,Texas,Austin,30.267605,-97.742984,790390,404.7507926
UT,Utah,Salt Lake City,40.759505,-111.888229,186440,175.5797673
VT,Vermont,Montpelier,44.260299,-72.576264,7855,16.4153403
VA,Virginia,Richmond,37.5407,-77.433654,204214,96.72175998
WA,Washington,Olympia,47.039231,-122.891366,46478,26.87609637
WV,West Virginia,Charleston,38.350195,-81.638989,51400,50.85536798
WI,Wisconsin,Madison,43.07295,-89.386694,233209,110.5621449
WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,33.95722355
