,city,state,station,statlon,statlat
0,Montgomery,Alabama,US1ALAT0002,-86.4393,32.4756
1,Montgomery,Alabama,US1ALAT0010,-86.539,32.4262
2,Montgomery,Alabama,US1ALAT0014,-86.4854,32.4825
3,Montgomery,Alabama,US1ALEL0004,-86.3845,32.5504
4,Montgomery,Alabama,US1ALEL0005,-86.3783,32.5422
5,Montgomery,Alabama,US1ALEL0006,-86.3972,32.5161
6,Montgomery,Alabama,US1ALEL0007,-86.1468,32.4895
7,Montgomery,Alabama,US1ALEL0010,-86.1786,32.4785
8,Montgomery,Alabama,US1ALEL0014,-86.3996,32.5127
9,Montgomery,Alabama,US1ALEL0016,-86.0938,32.5801
10,Montgomery,Alabama,US1ALEL0022,-86.2877,32.5741
11,Montgomery,Alabama,US1ALEL0024,-86.3851,32.5149
12,Montgomery,Alabama,US1ALEL0027,-86.1137,32.454
13,Montgomery,Alabama,US1ALEL0028,-86.0922,32.4984
14,Montgomery,Alabama,US1ALMY0001,-86.2194,32.3357
15,Montgomery,Alabama,US1ALMY0004,-86.2273,32.3862
16,Montgomery,Alabama,US1ALMY0007,-86.2575,32.3772
17,Montgomery,Alabama,US1ALMY0009,-86.2159,32.3788
18,Montgomery,Alabama,US1ALMY0010,-86.3437,32.3816
19,Montgomery,Alabama,USC00014306,-86.2542,32.6189
20,Montgomery,Alabama,USC00015172,-86.0003,32.2603
21,Montgomery,Alabama,USC00015547,-86.3997,32.3036
22,Montgomery,Alabama,USC00015553,-86.2181,32.26
23,Montgomery,Alabama,USC00015555,-86.3,32.3833
24,Montgomery,Alabama,USC00016640,-86.4833,32.4833
25,Montgomery,Alabama,USC00016643,-86.555,32.4453
26,Montgomery,Alabama,USC00016684,-86.25,32.3
27,Montgomery,Alabama,USC00018038,-86.2025,32.4392
28,Montgomery,Alabama,USC00018859,-86.2103,32.5906
29,Montgomery,Alabama,USC00018862,-86.1417,32.4464
30,Montgomery,Alabama,USW00013821,-86.35,32.3833
31,Montgomery,Alabama,USW00013895,-86.4075,32.2997
32,Juneau,Alaska,US1AKJB0002,-134.6453,58.3834
33,Juneau,Alaska,US1AKJB0003,-134.5919,58.4029
34,Juneau,Alaska,US1AKJB0005,-134.3206,58.2592
35,Juneau,Alaska,US1AKJB0007,-134.3907,58.2752
36,Juneau,Alaska,US1AKJB0009,-134.4115,58.2828
37,Juneau,Alaska,US1AKJB0010,-134.418,58.3025
38,Juneau,Alaska,USC00500363,-134.1003,58.3183
39,Juneau,Alaska,USC00500464,-134.645,58.3814
40,Juneau,Alaska,USC00501225,-134.4167,58.2833
41,Juneau,Alaska,USC00501226,-134.8167,58.55
42,Juneau,Alaska,USC00501251,-133.6789,58.55
43,Juneau,Alaska,USC00502960,-135.4333,58.4167
44,Juneau,Alaska,USC00503198,-134.9,58.25
45,Juneau,Alaska,USC00503695,-135.4278,58.1072
46,Juneau,Alaska,USC00504092,-134.4,58.3
47,Juneau,Alaska,USC00504094,-134.4111,58.2989
48,Juneau,Alaska,USC00504103,-134.5694,58.4003
49,Juneau,Alaska,USC00504104,-134.4794,58.3544
50,Juneau,Alaska,USC00504107,-134.7658,58.3869
