city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Montgomery,USC00015553,TMIN,28,-22,-11,-9999,-9999,139,50,17,22,0,17,94,44,-22,-50,17,22,-44,-94,-39,-9999,28,128,144,67,28,-9999,-9999,-9999,-9999,-9999
Montgomery,USC00018859,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,106,-6,-9999,-9999,-9999,-17,22,-56,-9999,-9999,-9999,-9999,-72,-39,17,17,150,144,50,0,-22,-56,-56,-9999,-9999
Montgomery,USW00013895,TMIN,28,-10,6,39,100,117,28,28,33,11,33,83,28,-16,-32,33,0,-71,-88,-21,22,33,139,122,83,28,17,-21,-9999,-9999,-9999
Juneau,USC00500363,TMIN,0,22,28,6,28,11,-9999,-9999,6,-11,-17,-22,-33,-44,-61,-72,-33,-28,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Juneau,USC00500464,TMIN,39,50,28,22,22,22,28,33,28,17,-11,-22,-33,-33,-39,-39,-11,-11,-6,17,6,22,33,28,11,17,-39,-83,-83,-9999,-9999
Juneau,USC00501251,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-61,-89,-106,-106,-56,-33,-6,-6,-6,-6,-11,-11,-33,-50,-128,-183,-9999,-9999
Juneau,USC00504094,TMIN,-9999,-9999,-9999,-9999,-9999,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Juneau,USC00504107,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33,28,28,0,-6,-11,-11,-17,-17,6,0,28,17,22,33,28,17,28,-11,-44,-61,-9999,-9999,-9999
Juneau,USC00504117,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-50,-56,-61,-61,-61,-22,-17,0,0,6,0,0,-6,6,-28,-89,-100,-9999,-9999
Juneau,USC00508584,TMIN,6,11,22,6,6,6,11,11,17,-6,-17,-22,-33,-33,-44,-56,-56,-6,-11,6,11,11,11,6,-6,-11,-28,-83,-106,-106,-9999
Juneau,USW00025309,TMIN,50,50,28,28,33,28,33,33,22,22,-32,-49,-60,-66,-71,-77,-21,-21,17,6,6,39,33,17,28,-16,-60,-105,-9999,-9999,-9999
Phoenix,USC00024977,TMIN,-9999,-9999,94,111,178,122,128,117,144,-9999,-9999,-9999,-9999,-9999,117,122,50,-9999,-9999,-9999,-9999,-9999,-9999,50,39,39,-9999,-9999,-9999,-9999,-9999
Phoenix,USC00028499,TMIN,122,128,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,33,-9999,-9999,-9999,-9999,-9999,-9999
Phoenix,USC00029634,TMIN,-9999,156,94,133,183,122,111,117,133,117,117,122,139,144,111,122,78,50,50,56,94,61,67,44,50,50,61,72,67,-9999,-9999
Phoenix,USW00003184,TMIN,167,106,94,128,156,133,133,122,150,139,133,144,139,139,117,78,39,39,72,56,83,50,67,39,50,50,83,111,-9999,-9999,-9999
Phoenix,USW00003192,TMIN,189,133,94,111,161,128,117,117,156,139,133,144,144,144,128,128,50,50,61,61,89,61,83,44,50,56,67,94,-9999,-9999,-9999
Phoenix,USW00023183,TMIN,206,156,117,117,156,156,150,144,161,150,144,156,161,161,139,117,83,83,100,89,117,78,89,56,78,67,83,111,-9999,-9999,-9999
Little Rock,USW00003952,TMIN,6,28,61,133,106,67,28,61,50,83,11,-16,-27,-49,-38,0,-43,-66,0,6,44,89,133,67,22,17,0,0,-9999,-9999,-9999
Little Rock,USW00013963,TMIN,11,11,56,133,117,83,28,44,28,78,22,-5,-21,-43,-38,17,-27,-66,0,-5,56,67,139,39,-5,-5,6,-16,-9999,-9999,-9999
Sacramento,USC00042294,TMIN,83,72,61,50,67,83,89,78,72,78,72,67,100,94,83,83,39,17,78,94,78,94,78,28,33,28,61,22,33,106,-9999
Sacramento,USW00023232,TMIN,100,72,44,56,72,83,89,89,89,83,122,72,128,106,83,72,44,28,78,111,106,94,61,39,44,39,61,28,-9999,-9999,-9999
Sacramento,USW00023271,TMIN,100,78,61,67,89,106,94,94,94,100,111,94,128,117,89,72,44,44,89,106,106,106,72,44,56,50,78,50,-9999,-9999,-9999
Sacramento,USW00093225,TMIN,72,61,50,50,56,83,78,78,67,67,61,89,106,78,67,56,33,11,78,100,94,89,39,22,28,17,44,11,-9999,-9999,-9999
Denver,USC00050950,TMIN,-11,28,28,-22,-11,-17,22,6,28,44,-106,-183,-250,-178,-128,-217,-133,-94,-44,-72,-39,-22,11,-39,-72,-39,-61,22,-9999,-9999,-9999
Denver,USC00052223,TMIN,-9999,-9999,-9999,-33,-28,-17,-11,-9999,-9999,-9999,-9999,-9999,-222,-200,-9999,-9999,-9999,-133,-117,-78,-67,-9999,-9999,-9999,-9999,-67,-9999,-44,-9999,-9999,-9999
Denver,USC00052228,TMIN,6,61,11,0,11,6,44,17,33,-100,-139,-9999,-172,-150,-139,-156,-100,-61,-33,-56,0,-11,-17,-33,-50,-39,-9999,50,33,-9999,-9999
Denver,USC00053387,TMIN,-9999,-9999,-9999,-33,28,-9999,-6,-6,94,-9999,-9999,-239,-239,-67,-178,-183,-106,-56,0,6,6,6,-61,-78,-61,-9999,-9999,-9999,-9999,-9999,-9999
Denver,USC00054762,TMIN,6,-9999,22,-17,22,0,44,0,39,50,-111,-183,-217,-211,-144,-167,-161,-9999,-39,-9999,-56,-9999,-11,-11,-9999,-39,-44,61,56,-44,-9999
Denver,USC00055402,TMIN,6,72,33,-28,-28,-6,-6,11,17,61,-106,-178,-211,-194,-139,-178,-167,-128,-89,-56,-9999,-9999,0,-28,-61,-33,-33,17,17,44,-9999
Denver,USC00055984,TMIN,0,11,39,-28,6,-9999,39,17,44,44,-106,-172,-206,-172,-128,-167,-128,-133,11,-72,-50,-6,6,-33,-50,-39,-56,50,22,28,-9999
Denver,USC00056816,TMIN,0,78,28,-11,33,-9999,28,17,33,83,-122,-178,-9999,-9999,-133,-178,-139,-39,11,-33,-22,6,-9999,-28,-33,-44,-44,67,39,50,-9999
Denver,USC00058995,TMIN,-11,6,28,-50,-44,-22,-17,-11,-6,17,-106,-172,-222,-206,-156,-178,-172,-67,-6,-78,-72,-50,11,-17,-44,-28,-44,0,44,56,-9999
Denver,USW00023062,TMIN,-6,0,28,-17,-11,-11,0,11,6,28,-106,-178,-233,-206,-161,-172,-172,-111,-67,-67,-61,-22,11,-28,-61,-39,-50,-50,44,17,-9999
Denver,USW00093067,TMIN,33,50,-10,-32,-5,0,28,6,11,-110,-149,-221,-227,-160,-160,-199,-132,-105,-43,-49,-38,6,-27,-71,-71,-32,0,33,-9999,-9999,-9999
Hartford,USC00060973,TMIN,6,33,11,11,22,56,-9999,-9999,-9999,-6,-22,56,-11,-9999,-9999,-9999,-22,0,-78,-78,-56,-94,-22,72,122,33,-9999,-9999,-9999,-9999,-9999
Hartford,USC00069162,TMIN,28,39,17,22,94,61,61,-17,6,6,11,56,-6,6,-33,-50,-39,11,-67,-67,-44,-67,-44,39,139,44,-11,-17,-78,-61,-9999
Hartford,USW00014740,TMIN,56,39,11,22,67,56,17,-10,17,-16,6,50,-16,-10,-55,-60,22,-43,-66,-27,-49,-71,44,50,50,11,-5,-60,-71,-9999,-9999
Hartford,USW00014752,TMIN,56,39,22,28,67,61,28,-5,6,-10,22,56,0,6,-38,-49,22,-43,-66,-21,-55,-77,39,44,44,0,0,-38,-77,-9999,-9999
Dover,USC00072730,TMIN,72,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Tallahassee,USC00088756,TMIN,56,11,-9999,-9999,28,100,78,28,39,-9999,22,44,83,28,0,0,-11,0,-9999,-56,-50,22,133,178,156,78,22,6,-22,17,-9999
Tallahassee,USW00093805,TMIN,61,17,-10,28,100,128,56,28,67,28,33,61,72,17,0,61,72,-10,-55,-49,6,61,172,172,89,39,33,6,-9999,-9999,-9999
Atlanta,USC00094700,TMIN,28,6,0,39,56,100,44,17,33,33,44,44,33,-39,-33,-22,11,-44,-72,-61,-50,-9999,22,83,78,56,39,-22,-22,-9999,-9999
Atlanta,USW00003888,TMIN,33,6,-10,28,67,94,33,6,33,11,28,67,11,-38,-43,39,-10,-49,-77,-16,-16,0,72,122,83,50,11,-27,-27,-9999,-9999
